Country Code,Country Name,Abbreviation,EU-27
239,South Georgia and the South Sandwich Islands,SGS,0
242,Fiji,FJI,0
246,Finland,FIN,1
251,France,FRA,1
254,French Guiana,GUF,0
258,French Polynesia,PYF,0
260,Fr. South Antarctic Terr.,ATF,0
262,Djibouti,DJI,0
266,Gabon,GAB,0
268,Georgia,GEO,0
270,Gambia,GMB,0
275,Occ. Palestinian Terr.,PSE,0
276,Germany,DEU,1
288,Ghana,GHA,0
290,"Northern Africa, nes",,0
292,Gibraltar,GIB,0
296,Kiribati,KIR,0
300,Greece,GRC,1
304,Greenland,GRL,0
308,Grenada,GRD,0
312,Guadeloupe,GLP,0
316,Guam,GUM,0
320,Guatemala,GTM,0
324,Guinea,GIN,0
328,Guyana,GUY,0
332,Haiti,HTI,0
334,Heard Island and McDonald Islands,HMD,0
336,Holy See (Vatican City State),VAT,0
340,Honduras,HND,0
344,"China, Hong Kong SAR",HKG,0
348,Hungary,HUN,1
352,Iceland,ISL,0
360,Indonesia,IDN,0
364,Iran,IRN,0
368,Iraq,IRQ,0
372,Ireland,IRL,1
376,Israel,ISR,0
381,Italy,ITA,1
384,Côte d'Ivoire,CIV,0
388,Jamaica,JAM,0
392,Japan,JPN,0
398,Kazakhstan,KAZ,0
400,Jordan,JOR,0
404,Kenya,KEN,0
408,Dem. People's Rep. of Korea,PRK,0
410,Rep. of Korea,KOR,0
414,Kuwait,KWT,0
417,Kyrgyzstan,KGZ,0
418,Lao People's Dem. Rep.,LAO,0
422,Lebanon,LBN,0
426,Lesotho,LSO,0
428,Latvia,LVA,1
430,Liberia,LBR,0
434,Libya,LBY,0
440,Lithuania,LTU,1
442,Luxembourg,LUX,1
446,"China, Macao SAR",MAC,0
450,Madagascar,MDG,0
454,Malawi,MWI,0
457,Sarawak,,0
458,Malaysia,MYS,0
459,Peninsula Malaysia,,0
461,Sabah,,0
462,Maldives,MDV,0
466,Mali,MLI,0
470,Malta,MLT,1
471,"CACM, nes",,0
472,"Africa CAMEU region, nes",,0
473,"LAIA, nes",,0
474,Martinique,MTQ,0
478,Mauritania,MRT,0
480,Mauritius,MUS,0
484,Mexico,MEX,0
490,"Other Asia, nes",,0
492,"Europe EU, nes",,0
496,Mongolia,MNG,0
498,Rep. of Moldova,MDA,0
499,Montenegro,MNE,0
500,Montserrat,MSR,0
504,Morocco,MAR,0
508,Mozambique,MOZ,0
512,Oman,OMN,0
516,Namibia,NAM,0
520,Nauru,NRU,0
524,Nepal,NPL,0
527,"Oceania, nes",,0
528,Netherlands,NLD,1
530,Neth. Antilles,ANT,0
533,Aruba,ARB,0
536,Neutral Zone,,0
540,New Caledonia,NCL,0
548,Vanuatu,VUT,0
554,New Zealand,NZL,0
558,Nicaragua,NIC,0
562,Niger,NER,0
566,Nigeria,NGA,0
568,"Other Europe, nes",,0
570,Niue,NIU,0
574,Norfolk Isds,NFK,0
577,"Other Africa, nes",,0
579,Norway,NOR,0
580,N. Mariana Isds,MNP,0
581,United States Minor Outlying Islands,UMI,0
582,Fmr Pacific Isds,PCI,0
583,FS Micronesia,FSM,0
584,Marshall Isds,MHL,0
585,Palau,PLW,0
586,Pakistan,PAK,0
591,Panama,PAN,0
592,Fmr Panama-Canal-Zone,PCZ,0
598,Papua New Guinea,PNG,0
600,Paraguay,PRY,0
604,Peru,PER,0
608,Philippines,PHL,0
612,Pitcairn,PCN,0
616,Poland,POL,1
620,Portugal,PRT,1
624,Guinea-Bissau,GNB,0
626,Timor-Leste,TMP,0
634,Qatar,QAT,0
636,"Rest of America, nes",,0
637,"North America and Central America, nes",,0
638,Réunion,REU,0
642,Romania,ROM,1
643,Russian Federation,RUS,0
646,Rwanda,RWA,0
647,Ryukyu Isd,,0
654,Saint Helena,SHN,0
659,Saint Kitts and Nevis,KNA,0
660,Anguilla,AIA,0
662,Saint Lucia,LCA,0
666,Saint Pierre and Miquelon,SPM,0
670,Saint Vincent and the Grenadines,VCT,0
674,San Marino,SMR,0
678,Sao Tome and Principe,STP,0
682,Saudi Arabia,SAU,0
686,Senegal,SEN,0
688,Serbia,SRB,0
690,Seychelles,SYC,0
694,Sierra Leone,SLE,0
697,"Europe EFTA, nes",,0
698,Sikkim,,0
699,India,IND,0
702,Singapore,SGP,0
703,Slovakia,SVK,1
704,Viet Nam,VNM,0
705,Slovenia,SVN,1
706,Somalia,SOM,0
710,South Africa,ZAF,0
716,Zimbabwe,ZWE,0
717,Fmr Rhodesia Nyas,,0
720,Fmr Dem. Yemen,YMD,0
724,Spain,ESP,1
732,Western Sahara,ESH,0
736,Sudan,SDN,0
740,Suriname,SUR,0
748,Swaziland,SWZ,0
752,Sweden,SWE,1
757,Switzerland,CHE,0
760,Syria,SYR,0
762,Tajikistan,TJK,0
764,Thailand,THA,0
768,Togo,TGO,0
772,Tokelau,TKL,0
776,Tonga,TON,0
780,Trinidad and Tobago,TTO,0
784,United Arab Emirates,ARE,0
788,Tunisia,TUN,0
792,Turkey,TUR,0
795,Turkmenistan,TKM,0
796,Turks and Caicos Isds,TCA,0
798,Tuvalu,TUV,0
800,Uganda,UGA,0
804,Ukraine,UKR,0
807,TFYR of Macedonia,MKD,0
810,Fmr USSR,SUN,0
818,Egypt,EGY,0
826,United Kingdom,GBR,1
834,United Rep. of Tanzania,TZA,0
835,Fmr Tanganyika,,0
836,Fmr Zanzibar and Pemba Isd,,0
837,Bunkers,,0
838,Free Zones,,0
839,Special Categories,,0
842,USA,USA,0
849,US Misc. Pacific Isds,,0
850,US Virgin Isds,VIR,0
854,Burkina Faso,BFA,0
858,Uruguay,URY,0
860,Uzbekistan,UZB,0
862,Venezuela,VEN,0
866,Fmr Dem. Rep. of Vietnam,VDR,0
876,Wallis and Futuna Isds,WLF,0
879,"Western Asia, nes",,0
882,Samoa,WSM,0
887,Yemen,YEM,0
890,Fmr Yugoslavia,YUG,0
891,Serbia and Montenegro,SCG,0
894,Zambia,ZMB,0
899,"Areas, nes",,0
